,0
low,32
person,32
smile,32
pointing,32
sign,32
held,32
kept,32
entered,32
lay,32
death,32
wondered,32
late,32
boys,32
ter,32
crowd,32
Crabbe,32
Felix,32
Merope,32
Room,32
instead,31
burst,31
fast,31
remained,31
watching,31
actually,31
attempt,31
free,31
Mark,31
move,31
wish,31
arrived,31
tears,31
shut,31
giving,31
Very,31
ring,31
bathroom,31
lessons,31
W,31
Come,31
Christmas,31
Goyle,31
Pomfrey,31
Requirement,31
bad,30
pleased,30
simply,30
repeated,30
wait,30
Is,30
happen,30
running,30
lost,30
happy,30
moving,30
least,30
dropped,30
smiling,30
chest,30
staff,30
friend,30
wants,30
met,30
less,30
thin,29
immediately,29
spoke,29
surprised,29
joined,29
Are,29
broken,29
seconds,29
Defense,29
Against,29
although,29
chance,29
o,29
odd,29
apparently,29
ready,29
glanced,29
box,29
couple,29
breakfast,29
laugh,29
sounded,28
whose,28
foot,28
stay,28
leapt,28
Here,28
flew,28
elf,28
showed,28
cannot,28
angry,28
trunk,28
Apparition,28
soon,28
cauldron,28
expected,28
yourself,28
become,28
expect,28
bag,28
Advanced,28
Making,28
rock,28
difficult,27
anybody,27
hoping,27
Ah,27
during,27
drew,27
horrible,27
conversation,27
others,27
steps,27
real,27
fight,27
deserted,27
security,27
ceiling,27
hidden,27
staircase,27
start,27
smiled,27
information,27
hadn,27
became,27
shook,27
teacher,27
forced,27
thick,27
Uncle,27
Vernon,27
lying,27
Prophet,27
yelled,27
happily,27
D,27
train,27
somebody,27
Hogsmeade,27
hole,27
wizards,26
Wizarding,26
worry,26
brought,26
term,26
walking,26
demanded,26
round,26
reason,26
Once,26
ahead,26
pale,26
pass,26
watch,26
enormous,26
hurt,26
lake,26
Felicis,26
Pensieve,26
locket,26
goblet,26
Hepzibah,26
terrible,25
firmly,25
However,25
surprise,25
world,25
sit,25
breath,25
powerful,25
Her,25
threw,25
completely,25
doors,25
possible,25
laughter,25
spells,25
forgotten,25
doubt,25
grounds,25
knows,25
Great,25
class,25
Aragog,25
perfectly,24
magical,24
clutching,24
shock,24
Azkaban,24
beyond,24
broke,24
listening,24
Right,24
business,24
street,24
trust,24
walls,24
stand,24
aren,24
glad,24
home,24
landed,24
entrance,24
objects,24
compartment,24
detention,24
surface,24
basin,24
pitch,24
hospital,24
fault,23
Or,23
above,23
afraid,23
hat,23
themselves,23
keeping,23
laughed,23
wide,23
highly,23
visit,23
liked,23
exactly,23
woman,23
bring,23
probably,23
